  Time      WVAL0___   HCOL13__   TCOL13__   PCOL13__   HUTZ2___ 
      0.00 108.605667 3499999.75  856.91925   19000000 2988949.25 
      1.00 108.605682 3499999.75 856.919189   19000000    2988949 
      2.00 108.605667 3499999.75 856.919189   19000000    2988949 
      3.00 108.605682 3499999.75 856.919189   19000000    2988949 
      4.00 108.605667 3499999.75 856.919189   19000000    2988949 
      5.00 108.605682 3499999.75 856.919189   19000000    2988949 
      6.00 108.605667 3499999.75 856.919189   19000000    2988949 
      7.00 108.605682 3499999.75 856.919189   19000000    2988949 
      8.00 108.605667 3499999.75 856.919189   19000000    2988949 
      9.00 108.605682 3499999.75 856.919189   19000000    2988949 
     10.00 108.605667 3499999.75 856.919189   19000000    2988949 
     11.00 108.605682 3499999.75 856.919189   19000000    2988949 
     12.00 108.605667 3499999.75 856.919189   19000000    2988949 
     13.00 108.605682 3499999.75 856.919189   19000000    2988949 
     14.00 108.605667 3499999.75 856.919189   19000000    2988949 
     15.00 108.605682 3499999.75 856.919189   19000000    2988949 
     16.00 108.605667 3499999.75 856.919189   19000000    2988949 
     17.00 108.605682 3499999.75 856.919189   19000000    2988949 
     18.00 108.605667 3499999.75 856.919189   19000000    2988949 
     19.00 108.605682 3499999.75 856.919189   19000000    2988949 
     20.00 108.605667 3499999.75 856.919189   19000000    2988949 
     21.00 108.605682 3499999.75 856.919189   19000000    2988949 
     22.00 108.605667 3499999.75 856.919189   19000000    2988949 
     23.00 108.605682 3499999.75 856.919189   19000000    2988949 
     24.00 108.605667 3499999.75 856.919189   19000000    2988949 
     25.00 108.605682 3499999.75 856.919189   19000000    2988949 
     26.00 108.605667 3499999.75 856.919189   19000000    2988949 
     27.00 108.605682 3499999.75 856.919189   19000000    2988949 
     28.00 108.605667 3499999.75 856.919189   19000000    2988949 
     29.00 108.605682 3499999.75 856.919189   19000000    2988949 
     30.00 108.605667 3499999.75 856.919189   19000000    2988949 
     31.00 108.605682 3499999.75 856.919189   19000000    2988949 
     32.00 108.605667 3499999.75 856.919189   19000000    2988949 
     33.00 108.605682 3499999.75 856.919189   19000000    2988949 
     34.00 108.605667 3499999.75 856.919189   19000000    2988949 
     35.00 108.605682 3499999.75 856.919189   19000000    2988949 
     36.00 108.605667 3499999.75 856.919189   19000000    2988949 
     37.00 108.605682 3499999.75 856.919189   19000000    2988949 
     38.00 108.605667 3499999.75 856.919189   19000000    2988949 
     39.00 108.605682 3499999.75 856.919189   19000000    2988949 
     40.00 108.605667 3499999.75 856.919189   19000000    2988949 
     41.00 108.605682 3499999.75 856.919189   19000000    2988949 
     42.00 108.605667 3499999.75 856.919189   19000000    2988949 
     43.00 108.605682 3499999.75 856.919189   19000000    2988949 
     44.00 108.605667 3499999.75 856.919189   19000000    2988949 
     45.00 108.605682 3499999.75 856.919189   19000000    2988949 
     46.00 108.605667 3499999.75 856.919189   19000000    2988949 
     47.00 108.605682 3499999.75 856.919189   19000000    2988949 
     48.00 108.605667 3499999.75 856.919189   19000000    2988949 
     49.00 108.605682 3499999.75 856.919189   19000000    2988949 
     50.00 108.605667 3499999.75 856.919189   19000000    2988949 
